HLTP	2nd Level TE	3rd Level TE	Taxon
Financial Operations	Banking Services	Lending and Credit	Commercial loans to merchants
Financial Operations	Banking Services	Lending and Credit	Agricultural credit and rural lending
Financial Operations	Banking Services	Lending and Credit	Government loans and sovereign debt
Financial Operations	Banking Services	Currency and Exchange	Foreign exchange operations
Financial Operations	Banking Services	Currency and Exchange	Currency issuance and monetary policy
Financial Operations	Banking Services	Deposits and Accounts	Savings accounts and deposits
Financial Operations	Banking Services	Deposits and Accounts	Current accounts and transactions
Financial Operations	Investment Activities	Securities and Bonds	Ottoman government bonds
Financial Operations	Investment Activities	Securities and Bonds	Railway bonds and infrastructure finance
Financial Operations	Investment Activities	Trade Finance	Letters of credit and trade facilitation
Financial Operations	Investment Activities	Trade Finance	Export-import financing
Institutional Structure	Governance	Ownership Structure	Foreign shareholders (British and French)
Institutional Structure	Governance	Ownership Structure	Ottoman government participation
Institutional Structure	Governance	Board and Management	Board of Directors composition
Institutional Structure	Governance	Board and Management	Executive management structure
Institutional Structure	Operations	Branch Network	Constantinople headquarters
Institutional Structure	Operations	Branch Network	Provincial branches across empire
Institutional Structure	Operations	Branch Network	International offices
Institutional Structure	Operations	Staff and Personnel	European staff and expertise
Institutional Structure	Operations	Staff and Personnel	Local Ottoman employees
Institutional Structure	Operations	Staff and Personnel	Training and knowledge transfer
Historical Context	Founding Period	Establishment	Crimean War financial crisis (1854-1856)
Historical Context	Founding Period	Establishment	1863 charter and founding agreements
Historical Context	Founding Period	Early Operations	Initial capital and shareholding
Historical Context	Founding Period	Early Operations	First decade challenges and growth
Historical Context	Imperial Era	Late Ottoman Period	Abdul Hamid II era (1876-1909)
Historical Context	Imperial Era	Late Ottoman Period	Young Turk Revolution impact
Historical Context	Imperial Era	World War I	Wartime operations and restrictions
Historical Context	Imperial Era	World War I	Enemy property sequestration
Historical Context	Republican Transition	Empire Dissolution	Post-WWI liquidation discussions
Historical Context	Republican Transition	Empire Dissolution	Treaty of Lausanne provisions
Historical Context	Republican Transition	Turkish Republic	Transformation to Ottoman Bank Turkey
Historical Context	Republican Transition	Turkish Republic	Nationalization and modern banking
Economic Impact	Public Finance	Debt Management	Ottoman Public Debt Administration
Economic Impact	Public Finance	Debt Management	Debt consolidation and restructuring
Economic Impact	Public Finance	Revenue Collection	Tax farming and revenue assignment
Economic Impact	Public Finance	Revenue Collection	Customs duties collection
Economic Impact	Development Finance	Infrastructure	Railway construction financing
Economic Impact	Development Finance	Infrastructure	Port and telegraph development
Economic Impact	Development Finance	Infrastructure	Urban modernization projects
Economic Impact	Development Finance	Industry	Industrial development loans
Economic Impact	Development Finance	Industry	Mining and resource extraction
Economic Impact	Trade Relations	International Commerce	European-Ottoman trade facilitation
Economic Impact	Trade Relations	International Commerce	Regional trade networks
Economic Impact	Trade Relations	Monetary System	Gold standard adoption
Economic Impact	Trade Relations	Monetary System	Currency stabilization efforts
Political Dimensions	Imperial Relations	Foreign Influence	European financial imperialism
Political Dimensions	Imperial Relations	Foreign Influence	Capitulations and extraterritorial rights
Political Dimensions	Imperial Relations	Diplomatic Role	Financial diplomacy and negotiations
Political Dimensions	Imperial Relations	Diplomatic Role	Crisis management and mediation
Political Dimensions	State Functions	Treasury Operations	State banker and fiscal agent
Political Dimensions	State Functions	Treasury Operations	Budget management and cash flow
Political Dimensions	State Functions	Monetary Authority	Note issuance privilege
Political Dimensions	State Functions	Monetary Authority	Central banking functions
Political Dimensions	Reform Movements	Tanzimat Era	Financial modernization efforts
Political Dimensions	Reform Movements	Tanzimat Era	Administrative reforms support
Political Dimensions	Reform Movements	Constitutional Periods	First Constitutional Era (1876-1878)
Political Dimensions	Reform Movements	Constitutional Periods	Second Constitutional Era (1908-1920)
Social and Cultural	Modernization	Western Influence	European banking practices introduction
Social and Cultural	Modernization	Western Influence	Architectural and urban impact
Social and Cultural	Modernization	Economic Culture	Credit and debt culture transformation
Social and Cultural	Modernization	Economic Culture	Business practices modernization
Social and Cultural	Community Relations	Ethnic Banking	Armenian and Greek merchant networks
Social and Cultural	Community Relations	Ethnic Banking	Jewish banking connections
Social and Cultural	Community Relations	Religious Considerations	Islamic finance accommodations
Social and Cultural	Community Relations	Religious Considerations	Interest (riba) controversies
Social and Cultural	Knowledge Transfer	Education	Financial literacy promotion
Social and Cultural	Knowledge Transfer	Education	Banking profession development
Social and Cultural	Knowledge Transfer	Documentation	Record-keeping and archives
Social and Cultural	Knowledge Transfer	Documentation	Statistical data collection
